customer_id,company_name,industry,is_churned,plan_tier,mrr_usd,total_events,last_activity,avg_session_sec,unique_features,team_size,latest_nps,recency_days,R_score,F_score,V_score,rfv_total,segment
1,Rush Platform,E-commerce,1,professional,44.25,39,2025-03-18 13:48:50,1844.4545454545455,3,3.0,,380,1,2,3,6,🔴 High-Value Sleepers
2,TrekStack,Manufacturing,0,free,0.0,33,2025-03-27 10:39:56,1668.5555555555557,4,6.0,8.0,371,1,1,1,3,⚪ Dormant/Lost
3,Wave Group,Education,0,free,0.0,40,2025-07-20 12:26:23,1641.5454545454545,6,27.0,7.0,256,2,2,1,5,⚪ Dormant/Lost
4,KeenSoftware,Technology,0,enterprise,82.5,45,2025-03-05 02:08:56,1766.4473684210527,3,18.0,8.0,393,1,3,4,8,🟠 At Risk
5,QuestAnalytics,Logistics,0,starter,15.83,43,2025-06-18 21:01:58,1722.2058823529412,5,22.0,7.0,288,2,3,2,7,🟠 At Risk
6,RiftWorks,Insurance,0,free,0.0,34,2025-08-29 11:44:36,1729.75,7,4.0,7.0,216,3,1,1,5,🟡 New/Promising
7,PeakIO,Telecommunications,0,free,0.0,45,2025-08-16 18:15:13,1577.3529411764705,6,26.0,10.0,229,2,3,1,6,🟠 At Risk
8,Data Systems,Finance,0,free,0.0,43,2025-04-05 23:00:27,1731.945945945946,6,23.0,5.0,362,1,3,1,5,🟠 At Risk
9,Iris Hub,Education,0,free,0.0,48,2024-03-26 03:00:38,2031.7179487179487,9,37.0,8.0,737,1,4,1,6,🟠 At Risk
10,GlowSystems,Education,0,professional,59.0,36,2025-07-31 17:31:18,1710.8076923076924,8,40.0,2.0,245,2,1,4,7,🔴 High-Value Sleepers
11,Xenon Cloud,E-commerce,0,starter,7.5,43,2025-07-31 11:15:41,1780.6944444444443,4,1.0,8.0,245,2,3,1,6,🟠 At Risk
12,QuarkDev,Manufacturing,0,enterprise,99.0,44,2025-09-06 03:03:19,1484.9142857142858,4,3.0,4.0,208,3,3,4,10,🟢 Champions
13,Vertex Labs,Real Estate,1,free,0.0,33,2025-07-23 00:45:46,1699.0384615384614,4,7.0,,253,2,1,1,4,⚪ Dormant/Lost
14,Keen Ventures,Consulting,0,enterprise,74.25,43,2025-10-03 14:34:18,1709.4705882352941,5,2.0,6.0,181,4,3,4,11,🟢 Champions
15,DataLogic,Insurance,0,starter,12.0,39,2025-07-11 11:46:11,2014.142857142857,4,60.0,,265,2,2,2,6,🟤 Need Attention
16,Iris Labs,Healthcare,0,starter,10.0,50,2025-05-19 09:04:18,1936.4,8,60.0,9.0,318,1,4,2,7,🟠 At Risk
17,DriftCloud,Legal,0,starter,9.6,42,2025-08-27 06:14:02,1479.4333333333334,5,52.0,0.0,218,3,3,2,8,🔵 Loyal Customers
18,LinkIO,Retail,0,professional,39.0,46,2025-10-13 04:05:33,2011.7105263157894,5,5.0,,171,4,4,3,11,🟢 Champions
19,Flow Corp,Logistics,1,professional,32.5,37,2024-11-15 01:20:52,2124.5806451612902,8,3.0,8.0,503,1,2,3,6,🔴 High-Value Sleepers
