customer_id,member_id,survey_date,nps_score,category,feedback,survey_channel,response_time_hours
524,7887,,9,promoter,"Mobile app works great, can manage tasks on the go.",email,47.1
1028,8318,,6,detractor,Admin settings are a nightmare to configure.,in_app,17.5
901,7774,,2,detractor,Switched from competitor and regret it honestly.,in_app,
1029,6545,,9,promoter,Support team is incredibly responsive and helpful.,email,49.9
411,5896,,4,detractor,Way too expensive for what it offers.,in_app,
1044,3938,,10,promoter,The API is well-documented and easy to integrate with.,email,
400,6475,,10,promoter,"Great product, easy to use. Team adopted it quickly.",,
98,766,,6,detractor,"Too slow, especially with large projects.",,38.6
479,5236,,8,passive,,email,27.9
142,2663,,8,passive,Would be better with better export options.,email,
996,6400,,6,detractor,Bugs everywhere. Feels like we're beta testing.,,
894,4955,,9,promoter,Best project management tool we've used. Highly recommend.,sms,
399,603,,7,passive,Would be better with better export options.,in_app,
659,998,,6,detractor,Bugs everywhere. Feels like we're beta testing.,,
306,5353,,6,detractor,Lost data after an update. Very disappointed.,,
992,1835,,8,passive,Good product but could use more integrations.,sms,
649,7503,,8,passive,Would be better with better export options.,sms,52.3
198,776,,8,passive,"OK for basic project management, nothing special.",,
917,3737,,5,detractor,Lost data after an update. Very disappointed.,,
127,5987,,4,detractor,Switched from competitor and regret it honestly.,,20.3
914,3895,,9,promoter,Support team is incredibly responsive and helpful.,,
840,813,,7,passive,"Some features feel half-baked, like time tracking.",,
25,362,,8,passive,Solid tool but UI could be more intuitive.,,23.6
1051,2786,,7,passive,Good product but could use more integrations.,email,
1137,7360,,5,detractor,Support takes forever to respond to tickets.,,12.3
202,1780,,9,promoter,"Great product, easy to use. Team adopted it quickly.",email,1.1
1041,5893,,9,promoter,Best project management tool we've used. Highly recommend.,sms,46.2
821,4920,,7,passive,,,
999,6320,,0,detractor,Admin settings are a nightmare to configure.,email,
409,6239,,10,promoter,Best project management tool we've used. Highly recommend.,in_app,
989,1494,,8,passive,Works fine but the mobile app needs improvement.,,
1056,4122,,4,detractor,Bugs everywhere. Feels like we're beta testing.,in_app,42.7
1196,7747,,5,detractor,Way too expensive for what it offers.,in_app,
764,3266,,8,passive,,,56.4
423,6842,,4,detractor,Integration with our tools doesn't work properly.,in_app,
988,1670,,10,promoter,Custom workflows are a game changer for our process.,sms,
59,827,,8,passive,"Some features feel half-baked, like time tracking.",in_app,34.9
609,5026,,7,passive,"OK for basic project management, nothing special.",,2.6
163,1564,,3,detractor,"Too slow, especially with large projects.",,
578,655,,6,detractor,Admin settings are a nightmare to configure.,,
150,3829,,7,passive,"Some features feel half-baked, like time tracking.",email,
470,753,,7,passive,"Decent, but the pricing is a bit high for what you get.",in_app,
436,4117,,8,passive,"Some features feel half-baked, like time tracking.",,
711,3200,,7,passive,Would be better with better export options.,,
546,3395,,9,promoter,"Great product, easy to use. Team adopted it quickly.",in_app,
553,5819,,7,passive,"Some features feel half-baked, like time tracking.",,
67,1408,,9,promoter,"Great product, easy to use. Team adopted it quickly.",in_app,
116,4003,,4,detractor,Bugs everywhere. Feels like we're beta testing.,,35.6
907,528,,4,detractor,The interface is confusing and hard to navigate.,,37.6
400,5349,,10,promoter,Best project management tool we've used. Highly recommend.,in_app,
813,5001,,6,detractor,Switched from competitor and regret it honestly.,sms,
1051,5852,,9,promoter,The Gantt charts are exactly what we needed.,in_app,
469,4057,,2,detractor,The interface is confusing and hard to navigate.,in_app,
876,2177,,8,passive,,in_app,21.0
120,6099,,7,passive,,in_app,
495,4399,,5,detractor,Mobile app crashes constantly on Android.,sms,
1046,6163,,8,passive,"Some features feel half-baked, like time tracking.",email,38.9
841,1279,,10,promoter,Support team is incredibly responsive and helpful.,,62.1
805,8071,,9,promoter,Custom workflows are a game changer for our process.,in_app,
170,5342,,3,detractor,Admin settings are a nightmare to configure.,,66.1
17,781,,9,promoter,"Onboarding was smooth, team was productive within a day.",in_app,
