subscription_id,customer_id,plan_id,status,billing_cycle,start_date,end_date,mrr_usd,discount_pct,trial_end_date,cancellation_reason
1,1,1,cancelled,annual,2023-01-31,2023-04-20,0.0,15,,Missing features
2,1,5,cancelled,annual,2023-04-20,,44.25,10,,Switched competitor
3,2,1,paused,monthly,2023-06-09,,0.0,0,,
4,3,1,active,annual,2023-10-28,,0.0,20,,
5,4,1,expired,annual,2024-04-09,2024-08-10,0.0,15,,Budget cuts
6,4,6,active,annual,2024-08-10,,82.5,0,,
7,5,1,cancelled,monthly,2023-10-04,2024-10-01,0.0,10,,Missing features
8,5,3,active,annual,2024-10-01,,15.83,0,,
9,6,1,paused,monthly,2025-08-23,,0.0,0,,
10,7,1,active,annual,2024-08-21,,0.0,0,,
11,8,1,active,monthly,2024-04-24,,0.0,0,,
12,9,1,active,annual,2025-06-15,,0.0,0,,
13,10,5,active,monthly,2025-03-08,,59.0,0,2025-03-22 00:00:00,
14,11,2,active,annual,2024-06-29,,7.5,25,2024-07-13 00:00:00,
15,12,6,active,monthly,2024-10-27,,99.0,0,2024-11-10 00:00:00,
16,13,1,cancelled,monthly,2025-07-16,,0.0,0,,Switched competitor
17,14,1,cancelled,annual,2024-02-25,2025-01-03,0.0,0,,Too expensive
18,14,5,cancelled,monthly,2025-01-03,2025-05-17,59.0,0,,Missing features
19,14,6,active,annual,2025-05-17,,74.25,10,,
20,15,2,active,monthly,2024-04-18,,12.0,0,2024-05-02 00:00:00,
21,16,2,active,annual,2023-06-18,,10.0,0,2023-07-02 00:00:00,
22,17,2,cancelled,monthly,2024-08-16,2024-12-16,10.2,15,2024-08-30 00:00:00,Missing features
23,17,5,cancelled,annual,2024-12-16,2025-04-02,49.17,0,,Not using it
24,17,2,active,monthly,2025-04-02,,9.6,20,,
25,18,4,active,monthly,2025-06-01,,39.0,0,2025-06-15 00:00:00,
26,19,3,expired,annual,2024-02-10,2025-01-26,15.83,0,2024-02-24 00:00:00,Missing features
27,19,4,cancelled,annual,2025-01-26,,32.5,0,,
28,20,6,active,annual,2025-06-19,,82.5,0,2025-07-03 00:00:00,
29,21,4,active,monthly,2023-04-20,,39.0,0,2023-05-04 00:00:00,
30,22,5,active,annual,2023-12-08,,49.17,0,2023-12-22 00:00:00,
